0,1,2
2.283887,2.4220319,-1.0
-0.7159333,-0.54360324,1.0
1.700163,0.11317104,1.0
1.1489189,4.1568584,-1.0
1.0233372,0.4797126,1.0
2.8820553,3.717913,-1.0
0.20715599,4.744061,-1.0
0.67796284,0.6491656,1.0
-2.492415,3.0103986,-1.0
1.458927,4.561856,-1.0
-3.6786997,2.1150913,-1.0
-1.0660943,3.9322157,-1.0
-1.6015097,-0.29238135,1.0
-1.03707,1.518038,1.0
2.0817769,2.3947346,-1.0
1.1421225,0.10906197,1.0
2.0815167,2.2343833,-1.0
3.207066,2.1335268,-1.0
0.6187886,0.19528672,1.0
1.0012542,-0.8731865,1.0
-0.9605064,-1.5168031,1.0
-0.35740042,3.5694182,-1.0
2.8624542,3.39571,-1.0
0.4674117,-1.411005,1.0
1.0016525,1.4537172,1.0
0.083328426,-0.9542143,1.0
-2.2855403,2.0153725,-1.0
-4.2148175,0.91042143,-1.0
-0.4570055,0.17173885,1.0
0.44931304,-0.9857407,1.0
3.844221,1.3244555,-1.0
4.678665,1.1862776,-1.0
0.45607695,3.5871186,-1.0
0.66653365,4.7277393,-1.0
1.8326832,0.08013397,1.0
0.5520047,1.0583696,1.0
1.1367995,0.46706808,1.0
-1.2128505,0.1626624,1.0
0.6780574,-0.7897834,1.0
-1.9098743,-0.36610636,1.0
-3.0580306,2.0858476,-1.0
-0.08684178,3.6941319,-1.0
-1.1424892,-1.5467196,1.0
-0.5670023,-0.5737561,1.0
1.972711,3.8682437,-1.0
-4.2408333,0.7469335,-1.0
-1.5925051,4.322616,-1.0
1.2843133,2.7133372,-1.0
-1.3859068,3.5718668,-1.0
-0.8189701,4.4282093,-1.0
0.05832935,0.81876683,1.0
3.527583,2.0412257,-1.0
0.9703115,-0.041821953,1.0
-2.8052564,1.7072698,-1.0
0.43079975,4.4643474,-1.0
1.4581535,-0.21204728,1.0
-4.820749,1.0788804,-1.0
1.4753361,4.6770644,-1.0
-1.6844177,-0.75211245,1.0
0.985016,0.78973144,1.0
2.9368842,2.8858016,-1.0
4.3822455,1.0990795,-1.0
1.1565356,-0.54976887,1.0
0.1907434,0.7499967,1.0
-1.4373806,1.1141875,1.0
-1.3959826,0.542948,1.0
2.2488232,3.8113089,-1.0
-0.8121329,4.5390916,-1.0
-4.300332,2.238755,-1.0
1.4759481,-1.2665306,1.0
4.013788,0.35778737,-1.0
-0.3584538,0.010432188,1.0
0.6394711,-1.0263106,1.0
-1.2324532,-0.11645682,1.0
0.7545174,4.5257497,-1.0
1.1750286,1.0498224,1.0
-0.661007,1.1236895,1.0
-3.4756072,1.920403,-1.0
3.8802695,3.0708547,-1.0
1.6728805,4.368893,-1.0
0.15295044,0.0011072614,1.0
-1.8551414,-0.050757483,1.0
-2.8158417,1.2142689,-1.0
0.4302836,1.0592005,1.0
0.8636306,-0.6360202,1.0
0.2982983,-1.7738191,1.0
-2.2289293,4.3213596,-1.0
0.10714897,1.3788261,1.0
-0.9951181,-1.126793,1.0
-0.67646664,0.8255614,1.0
0.6852238,3.7264931,-1.0
1.4033705,-0.4704385,1.0
-0.0052449326,1.1382252,1.0
-1.406164,2.8093088,-1.0
0.43386963,0.58134073,1.0
0.7069074,4.6910796,-1.0
-2.0675468,4.229311,-1.0
-2.470353,3.4494965,-1.0
-0.89422816,-0.7365409,1.0
-0.95798254,4.2699647,-1.0
3.7853692,1.5038666,-1.0
-1.6133566,0.062212713,1.0
0.78185135,1.3011461,1.0
3.1101446,3.3041127,-1.0
2.7622936,2.9608538,-1.0
0.28041354,1.1448293,1.0
0.09652776,1.8017347,1.0
0.037704002,3.926112,-1.0
-2.469662,2.0793731,-1.0
-0.6058166,1.046661,1.0
-1.9280477,0.22283512,1.0
-0.5631709,0.8845036,1.0
1.4577638,3.0694432,-1.0
-1.7453046,2.7629344,-1.0
0.60087365,0.6946674,1.0
-4.169403,1.427315,-1.0
4.038533,0.5825286,-1.0
3.1915922,3.316115,-1.0
-0.59547466,-1.7232314,1.0
-3.0981288,2.2415411,-1.0
-2.9748545,3.3737361,-1.0
0.6091918,0.5653414,1.0
0.28635097,0.20846531,1.0
3.7902453,2.862517,-1.0
0.70690274,1.1977421,1.0
-0.056539696,1.7193943,1.0
-3.1410801,2.840663,-1.0
0.764242,0.13204846,1.0
1.499447,0.4226101,1.0
-3.6101527,3.3857815,-1.0
-1.502304,0.58678645,1.0
0.9765982,0.8339787,1.0
2.3359904,4.195247,-1.0
-1.2337302,2.9951675,-1.0
-1.5335392,-1.1093769,1.0
4.1507626,1.5706059,-1.0
0.22456338,4.0483937,-1.0
-1.2642759,1.1382976,1.0
1.0027341,1.2902535,1.0
3.6491647,0.42809904,-1.0
0.5913846,3.8530235,-1.0
1.0793183,3.2893603,-1.0
-2.9929318,2.1465435,-1.0
0.55807084,1.5955065,1.0
-1.0188003,-0.6270949,1.0
-1.080239,0.9093151,1.0
-0.19341931,3.101393,-1.0
3.5965667,1.2320215,-1.0
-1.4616792,0.8065839,1.0
-4.184341,1.0353199,-1.0
-1.0535004,4.4241714,-1.0
1.9093539,0.39677197,1.0
4.5065475,1.3358406,-1.0
-0.9192779,4.0088973,-1.0
-3.0893342,0.4092422,-1.0
1.6026595,0.19611132,1.0
-1.6541437,-0.76330054,1.0
0.6314033,0.24539974,1.0
-4.355598,1.0884699,-1.0
-0.40901342,1.7184205,1.0
-0.27743846,0.15142198,1.0
0.84214866,3.173396,-1.0
-3.490644,1.5953127,-1.0
2.4747941,3.0981264,-1.0
2.285223,2.1997545,-1.0
0.7000449,0.91909236,1.0
-3.449344,2.945897,-1.0
0.11104993,-1.7161641,1.0
0.35006842,-0.40014544,1.0
-1.3487786,1.1380386,1.0
1.2204491,4.025393,-1.0
3.8746014,2.1971927,-1.0
0.46374252,1.073452,1.0
-1.4361653,-1.1218318,1.0
0.018874392,3.3258984,-1.0
0.086337626,1.3761642,1.0
-1.7302965,0.79638463,1.0
-0.68305594,0.696593,1.0
-1.6850942,-0.0037802923,1.0
1.1243553,1.3256434,1.0
-3.0912597,2.2780712,-1.0
0.95864534,1.4864686,1.0
-0.74117607,-1.0298423,1.0
-1.5865898,3.3213277,-1.0
-0.34679392,1.2690793,1.0
-0.87191254,0.67943937,1.0
0.73410946,0.44750553,1.0
0.016946422,0.38563296,1.0
4.822478,1.2592258,-1.0
1.227398,-1.0562574,1.0
-4.2722197,0.6764546,-1.0
3.257234,2.897328,-1.0
3.2113597,0.51996624,-1.0
3.1725383,1.1360477,-1.0
-1.838854,-0.6829531,1.0
-1.3278569,1.0399053,1.0
-1.2725055,-0.112686776,1.0
1.5237324,2.9384644,-1.0
3.5934865,1.3170786,-1.0
0.13357256,-1.0900673,1.0
-0.8983773,-1.4021006,1.0
-0.2272699,4.571677,-1.0
0.43865675,-1.111941,1.0
1.1792023,2.994101,-1.0
0.30476847,-1.1967785,1.0
-0.39246276,1.7914891,1.0
-0.33330208,-1.25199,1.0
-3.5972254,2.132721,-1.0
-0.555347,1.2531898,1.0
2.1733403,3.0154276,-1.0
2.245241,3.5413585,-1.0
-1.4659189,3.0196104,-1.0
3.5106432,0.9641921,-1.0
-2.9074833,1.366632,-1.0
-1.1892678,0.4691883,1.0
3.4328063,2.957314,-1.0
-1.524556,0.7713548,1.0
-1.536749,-0.1998149,1.0
2.8884177,2.3092556,-1.0
0.6898893,-0.108009495,1.0
0.064556986,0.16672556,1.0
4.2866673,0.08496581,-1.0
-2.2060218,3.6991582,-1.0
-1.811841,3.623901,-1.0
-3.1995738,0.8272712,-1.0
0.642565,0.8566877,1.0
4.596746,1.8537298,-1.0
3.6897175,1.7383813,-1.0
-0.25136712,1.7536495,1.0
-0.8697403,1.4915226,1.0
1.3841952,3.965092,-1.0
1.6425928,-1.0419192,1.0
-0.60749406,-0.5897053,1.0
-1.2450948,1.1888521,1.0
4.437875,2.1348104,-1.0
-0.29332352,-1.3530169,1.0
-0.740105,3.5024116,-1.0
-0.11524407,-0.28915596,1.0
